relative_volume_band,signal_time,entry_time,exit_time,drop_return,entry_mid,entry_executed,exit_mid,exit_executed,quantity,exit_reason,broker_profile,gross_pnl,spread_cost,slippage_cost,broker_commission,sec_fee,finra_taf,cat_fee,regulatory_fees,total_broker_fees,commission_cost,net_pnl,relative_volume_30
low,2026-05-04 14:15:00-04:00,2026-05-04 14:16:00-04:00,2026-05-04 14:20:00-04:00,-0.0020627892936204706,198.35,198.3896719835,198.28,198.24034598280002,5,max_holding,alpaca_personal_api,-0.3499999999999659,0.19831499999995117,0.19831500349994258,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-0.7866300034998597,0.6278852222754476
low,2026-05-05 10:16:00-04:00,2026-05-05 10:17:00-04:00,2026-05-05 10:18:00-04:00,-0.002169087974172701,197.8,197.839561978,197.542802635033,197.50329604993405,5,stop_loss,alpaca_personal_api,-1.2859868248349926,0.1976714013174785,0.19767141417730727,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7213296403297784,0.70392752840145
low,2026-05-05 10:31:00-04:00,2026-05-05 10:32:00-04:00,2026-05-05 10:36:00-04:00,-0.003975642896683729,197.92,197.95958597919997,197.89,197.85042397889998,5,max_holding,alpaca_personal_api,-0.15000000000000568,0.19790499999999156,0.19790500149994728,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-0.5858100014999446,0.601038626517097
low,2026-05-05 11:18:00-04:00,2026-05-05 11:19:00-04:00,2026-05-05 11:23:00-04:00,-0.0024322270078540598,196.86,196.89937396860003,197.29317271653724,197.2537160549257,5,take_profit,alpaca_personal_api,2.1658635826861428,0.19707658635823577,0.1970765646996142,0.0,0.03,0.01,0.0,0.04,0.04,0.0,1.7317104316282927,0.6871902031295558
low,2026-05-05 12:31:00-04:00,2026-05-05 12:32:00-04:00,2026-05-05 12:36:00-04:00,-0.0023734976265024077,197.55,197.58951197550002,197.74,197.70045397740003,5,max_holding,alpaca_personal_api,0.9499999999999886,0.19764499999993745,0.19764499049998108,0.0,0.03,0.01,0.0,0.04,0.04,0.0,0.5147100095000701,0.7485565626498697
low,2026-05-05 12:42:00-04:00,2026-05-05 12:43:00-04:00,2026-05-05 12:47:00-04:00,-0.002073220064724879,197.35,197.38947197349998,197.59,197.55048397590002,5,max_holding,alpaca_personal_api,1.2000000000000455,0.19746999999995296,0.1974699879998809,0.0,0.03,0.01,0.0,0.04,0.04,0.0,0.7650600120002116,0.6432285248520517
low,2026-05-06 10:06:00-04:00,2026-05-06 10:07:00-04:00,2026-05-06 10:07:00-04:00,-0.0055362304639656745,203.02,203.0606060302,203.46672724226042,203.42603593147925,4,take_profit,alpaca_personal_api,1.786908969041633,0.16259469089686718,0.1625946730277974,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.4317196051169685,0.7316136064623406
low,2026-05-06 10:16:00-04:00,2026-05-06 10:17:00-04:00,2026-05-06 10:17:00-04:00,-0.0026291445542625524,204.86,204.9009740486,204.5936225875271,204.55270590894582,4,stop_loss,alpaca_personal_api,-1.0655096498916237,0.1637814490350138,0.16378145969008528,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.4230725586167228,0.6370679364613984
low,2026-05-06 10:22:00-04:00,2026-05-06 10:23:00-04:00,2026-05-06 10:23:00-04:00,-0.006320431161195406,202.86,202.9005740286,203.3063751766572,203.26571593468563,4,take_profit,alpaca_personal_api,1.7855007066287953,0.16246655007068966,0.16246653221560337,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.4305676243425023,0.626983215913247
low,2026-05-06 10:58:00-04:00,2026-05-06 10:59:00-04:00,2026-05-06 11:02:00-04:00,-0.00243890541924785,204.53,204.5709080453,204.26405168323205,204.22320091553595,4,stop_loss,alpaca_personal_api,-1.0637932670717873,0.1635176206732467,0.1635176313111515,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.4208285190561856,0.5859169279382596
low,2026-05-06 11:40:00-04:00,2026-05-06 11:41:00-04:00,2026-05-06 11:41:00-04:00,-0.004257377842283527,205.82,205.86116605819998,205.5523743091127,205.51126588977465,4,stop_loss,alpaca_personal_api,-1.0705027635491433,0.16454894972355305,0.16454896042864675,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.4296006737013431,0.68815313481846
low,2026-05-06 11:42:00-04:00,2026-05-06 11:43:00-04:00,2026-05-06 11:43:00-04:00,-0.0037344197099762333,205.42,205.4610860542,205.15289442511872,205.11186589776264,4,stop_loss,alpaca_personal_api,-1.068422299525082,0.16422915777002345,0.16422916845431246,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.426880625749418,0.4983009919645838
low,2026-05-06 11:49:00-04:00,2026-05-06 11:50:00-04:00,2026-05-06 11:54:00-04:00,-0.003069427527405577,204.62,204.66092604620002,204.71,204.66906004710003,4,max_holding,alpaca_personal_api,0.36000000000001364,0.16373199999998178,0.16373199639997438,0.0,0.02,0.01,0.0,0.03,0.03,0.0,0.002536003600057485,0.5641533708005317
low,2026-05-07 09:43:00-04:00,2026-05-07 09:44:00-04:00,2026-05-07 09:44:00-04:00,-0.00628689350674283,207.09,207.13142007090002,207.5456829110418,207.50417584991644,4,take_profit,alpaca_personal_api,1.82273164416722,0.16585427316442747,0.16585425493713046,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.4610231160656622,0.5106151469586261
low,2026-05-07 09:45:00-04:00,2026-05-07 09:46:00-04:00,2026-05-07 09:46:00-04:00,-0.0038938563599654197,207.2,207.24144207199998,207.655924956144,207.61439584771202,4,take_profit,alpaca_personal_api,1.8236998245760105,0.1659423699825311,0.16594235174534333,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.461815102848136,0.6802554984533697
low,2026-05-07 10:32:00-04:00,2026-05-07 10:33:00-04:00,2026-05-07 10:35:00-04:00,-0.005526932084309211,212.31,212.3524641231,212.7771690513462,212.73461574530762,4,take_profit,alpaca_personal_api,1.8686762053847588,0.17003486762052944,0.17003484893371024,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.498606488830519,0.6288747034647726
low,2026-05-07 10:44:00-04:00,2026-05-07 10:45:00-04:00,2026-05-07 10:45:00-04:00,-0.004024144869215318,212.86,212.9025741286,213.32837927685722,213.28571573428565,4,take_profit,alpaca_personal_api,1.8735171074288246,0.1704753517107065,0.17047533297557038,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.5025664227425477,0.6583827120220804
low,2026-05-07 10:49:00-04:00,2026-05-07 10:50:00-04:00,2026-05-07 10:50:00-04:00,-0.0022081277895231732,212.42,212.46248612419998,212.1437923950137,212.10136575797262,4,stop_loss,alpaca_personal_api,-1.1048304199451877,0.1698255169579852,0.16982552800629946,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.4744814649094724,0.6163991674445441
low,2026-05-07 10:51:00-04:00,2026-05-07 10:52:00-04:00,2026-05-07 10:54:00-04:00,-0.0022066763697826675,212.52,212.5625061252,212.9876311374504,212.94503574109922,4,take_profit,alpaca_personal_api,1.8705245498015302,0.17020305245500822,0.17020303374965806,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.5001184635968638,0.6979610044235802
low,2026-05-07 12:39:00-04:00,2026-05-07 12:40:00-04:00,2026-05-07 12:41:00-04:00,-0.004356788157031777,212.53,212.5725081253,212.99765314155061,212.95505574089884,4,take_profit,alpaca_personal_api,1.8706125662024533,0.170211061256623,0.17021104255047703,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.5001904623953533,0.49213738079576896
low,2026-05-07 12:46:00-04:00,2026-05-07 12:47:00-04:00,2026-05-07 12:51:00-04:00,-0.002956219792595527,212.47,212.5124961247,212.19372738051297,212.15129075697413,4,stop_loss,alpaca_personal_api,-1.1050904779481243,0.16986549095213377,0.16986550200317652,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.4748214709034346,0.5193154443047616
low,2026-05-07 12:58:00-04:00,2026-05-07 12:59:00-04:00,2026-05-07 13:03:00-04:00,-0.0024478651791178807,211.91,211.95238411909997,211.99,211.9476041199,4,max_holding,alpaca_personal_api,0.32000000000005,0.1695599999999331,0.16955999679998968,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-0.04911999679987275,0.7047977999583658
low,2026-05-07 13:45:00-04:00,2026-05-07 13:46:00-04:00,2026-05-07 13:49:00-04:00,-0.0028696429411487756,211.96,212.0023941196,211.68439052842064,211.64205576715887,4,stop_loss,alpaca_personal_api,-1.1024378863174888,0.16945775621138637,0.1694577672357127,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.471353409764588,0.68280880920395
low,2026-05-07 13:52:00-04:00,2026-05-07 13:53:00-04:00,2026-05-07 13:56:00-04:00,-0.002498585706204093,211.61,211.6523241161,211.33484562992587,211.29258077414835,4,stop_loss,alpaca_personal_api,-1.1006174802965916,0.16917793825200533,0.1691779492580281,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.468973367806625,0.6626536725146761
low,2026-05-08 10:04:00-04:00,2026-05-08 10:05:00-04:00,2026-05-08 10:05:00-04:00,-0.004922708870077397,216.29,216.3332601629,216.00876027265565,215.96556068068872,4,stop_loss,alpaca_personal_api,-1.1249589093773693,0.1729195041090179,0.17291951535867156,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5007979288450588,0.6636940806935911
low,2026-05-08 10:07:00-04:00,2026-05-08 10:08:00-04:00,2026-05-08 10:10:00-04:00,-0.003276419012459564,215.99,216.03320015990002,215.70915035966019,215.66601068667975,4,stop_loss,alpaca_personal_api,-1.123398561359295,0.17267966014389913,0.172679671377864,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.498757892881058,0.5104268767702724
low,2026-05-08 10:33:00-04:00,2026-05-08 10:34:00-04:00,2026-05-08 10:34:00-04:00,-0.0032455489614243715,214.97,215.0129961497,214.69047665547546,214.64754070704916,4,stop_loss,alpaca_personal_api,-1.1180933780981377,0.17186419066217695,0.17186420184305007,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.4918217706033647,0.6225549695478909
low,2026-05-08 11:42:00-04:00,2026-05-08 11:43:00-04:00,2026-05-08 11:45:00-04:00,-0.0033214928264980736,216.06,216.1032141606,215.77905933935912,215.73590568528186,4,stop_loss,alpaca_personal_api,-1.1237626425635199,0.17273562373566165,0.17273563497337818,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.4992339012725597,0.6816410531807684
low,2026-05-08 11:58:00-04:00,2026-05-08 11:59:00-04:00,2026-05-08 12:03:00-04:00,-0.0025017373175816315,215.3,215.343062153,215.4,215.35692215400002,4,max_holding,alpaca_personal_api,0.39999999999997726,0.17227999999988697,0.17227999600004296,0.0,0.02,0.01,0.0,0.03,0.03,0.0,0.02544000400004734,0.6783173634538195
low,2026-05-08 14:11:00-04:00,2026-05-08 14:12:00-04:00,2026-05-08 14:16:00-04:00,-0.0026461167076736736,214.84,214.88297014839998,215.02,214.97699815020002,4,max_holding,alpaca_personal_api,0.7200000000000273,0.17194399999993948,0.17194399279992467,0.0,0.02,0.01,0.0,0.03,0.03,0.0,0.3461120072001631,0.609798520543866
low,2026-05-11 09:57:00-04:00,2026-05-11 09:58:00-04:00,2026-05-11 09:59:00-04:00,-0.010442792649003607,217.02,217.0634061702,216.73781106094472,216.69446566611063,4,stop_loss,alpaca_personal_api,-1.1287557562211532,0.17350312442442828,0.17350313571193965,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5057620163575212,0.6669263069518984
low,2026-05-11 10:25:00-04:00,2026-05-11 10:26:00-04:00,2026-05-11 10:28:00-04:00,-0.0022352994845126206,218.71,218.7537441871,218.42561357081937,218.38193063236133,4,stop_loss,alpaca_personal_api,-1.1375457167225704,0.1748542454283779,0.1748542568037692,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5172542189547176,0.6700139915552822
low,2026-05-11 11:03:00-04:00,2026-05-11 11:04:00-04:00,2026-05-11 11:06:00-04:00,-0.0025720860971978343,221.02,221.06420621019998,220.73260990088468,220.68846558623062,4,stop_loss,alpaca_personal_api,-1.149560396461311,0.17670104396029274,0.17670105545585102,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5329624958774548,0.5957873984431559
low,2026-05-11 11:13:00-04:00,2026-05-11 11:14:00-04:00,2026-05-11 11:14:00-04:00,-0.003340254581565283,220.8,220.844162208,220.512895964688,220.468795590624,4,stop_loss,alpaca_personal_api,-1.148416141248049,0.17652515838585714,0.17652516987004674,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5314664695039528,0.7321556276395409
low,2026-05-11 11:34:00-04:00,2026-05-11 11:35:00-04:00,2026-05-11 11:36:00-04:00,-0.002254994813511879,221.23,221.2742482123,220.94233683998155,220.89815058203695,4,stop_loss,alpaca_personal_api,-1.1506526400737584,0.17686893473592136,0.17686894624250726,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.534390521052187,0.6625439767853933
low,2026-05-12 09:49:00-04:00,2026-05-12 09:50:00-04:00,2026-05-12 09:50:00-04:00,-0.005772845251946768,222.15,222.1944322215,221.86114057316775,221.8167705636645,4,stop_loss,alpaca_personal_api,-1.1554377073290425,0.1776044562292327,0.17760446778368078,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.540646631341956,0.48583326434827984
low,2026-05-12 09:51:00-04:00,2026-05-12 09:52:00-04:00,2026-05-12 09:52:00-04:00,-0.005204360895509019,221.75,221.7943522175,222.237940921935,222.19349555613005,4,take_profit,alpaca_personal_api,1.9517636877400264,0.17759517636875444,0.17759515685111182,0.0,0.02,0.01,0.0,0.03,0.03,0.0,1.56657335452016,0.6245466485891026
low,2026-05-12 09:56:00-04:00,2026-05-12 09:57:00-04:00,2026-05-12 09:57:00-04:00,-0.0023451946060523143,221.2,221.244242212,220.912375848682,220.86819558263602,4,stop_loss,alpaca_personal_api,-1.1504966052719965,0.17684495033950043,0.17684496184438103,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.534186517455878,0.6985090988198798
low,2026-05-12 10:08:00-04:00,2026-05-12 10:09:00-04:00,2026-05-12 10:09:00-04:00,-0.0027135814752838883,220.44,220.4840902044,220.1533640690934,220.10933559781324,4,stop_loss,alpaca_personal_api,-1.146543723626337,0.17623734562755544,0.1762373570931004,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5290184263469928,0.6005014298835153
low,2026-05-12 10:10:00-04:00,2026-05-12 10:11:00-04:00,2026-05-12 10:11:00-04:00,-0.0041142960484672475,220.28,220.32405820280002,219.99357211549582,219.94957560100846,4,stop_loss,alpaca_personal_api,-1.1457115380167124,0.17610942884618908,0.1761094403033212,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5279304071662227,0.3796531125909568
low,2026-05-12 10:47:00-04:00,2026-05-12 10:48:00-04:00,2026-05-12 10:48:00-04:00,-0.00324719871941459,217.94,217.98359017939998,217.6566147941309,217.61308564773822,4,stop_loss,alpaca_personal_api,-1.1335408234764373,0.17423864591762595,0.17423865725299947,0.0,0.02,0.01,0.0,0.03,0.03,0.0,-1.5120181266470627,0.7027706621832812
