qqq_regime,signal_time,entry_time,exit_time,drop_return,entry_mid,entry_executed,exit_mid,exit_executed,quantity,exit_reason,broker_profile,gross_pnl,spread_cost,slippage_cost,broker_commission,sec_fee,finra_taf,cat_fee,regulatory_fees,total_broker_fees,commission_cost,net_pnl,qqq_return_5m
falling,2026-05-01 10:18:00-04:00,2026-05-01 10:19:00-04:00,2026-05-01 10:19:00-04:00,-0.003250162508125487,199.34,199.3798699934,199.7786297333868,199.7386760052264,5,take_profit,alpaca_personal_api,2.1931486669339506,0.19955931486677514,0.19955929293516306,0.0,0.03,0.01,0.0,0.04,0.04,0.0,1.7540300591320124,-0.0012449239707147397
falling,2026-05-01 10:30:00-04:00,2026-05-01 10:31:00-04:00,2026-05-01 10:31:00-04:00,-0.0030650185910964245,198.42,198.4596859842,198.16199645522371,198.12236603755264,5,stop_loss,alpaca_personal_api,-1.2900177238813626,0.19829099822771923,0.1982910111277647,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.7265997332368466,-0.0012752454105994238
falling,2026-05-01 10:32:00-04:00,2026-05-01 10:33:00-04:00,2026-05-01 10:33:00-04:00,-0.009283420313127233,197.45,197.4894919745,197.884470958449,197.844896043102,5,take_profit,alpaca_personal_api,2.172354792244988,0.1976672354791731,0.19766721375575003,0.0,0.03,0.01,0.0,0.04,0.04,0.0,1.737020343010065,-0.0017647146056085639
falling,2026-05-01 10:34:00-04:00,2026-05-01 10:35:00-04:00,2026-05-01 10:36:00-04:00,-0.008690410408399019,197.35,197.38947197349998,197.09338776553975,197.05397105892052,5,stop_loss,alpaca_personal_api,-1.2830611723012453,0.1972216938827387,0.1972217067132931,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.717504572897277,-0.0020470829068577334
falling,2026-05-01 11:01:00-04:00,2026-05-01 11:02:00-04:00,2026-05-01 11:02:00-04:00,-0.002506391297809385,199.0,199.03980199,198.741242287015,198.70149602597004,5,stop_loss,alpaca_personal_api,-1.293788564924938,0.19887062114349874,0.1988706340813451,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.731529820149782,-0.001411086685283225
falling,2026-05-01 11:52:00-04:00,2026-05-01 11:53:00-04:00,2026-05-01 11:57:00-04:00,-0.002956356165756402,199.0,199.03980199,198.741242287015,198.70149602597004,5,stop_loss,alpaca_personal_api,-1.293788564924938,0.19887062114349874,0.1988706340813451,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.731529820149782,-0.0010962800551103102
falling,2026-05-01 12:09:00-04:00,2026-05-01 12:10:00-04:00,2026-05-01 12:13:00-04:00,-0.0022132796780683917,198.36,198.3996739836,198.7964733315672,198.75671602486563,5,take_profit,alpaca_personal_api,2.182366657835928,0.1985782366656963,0.1985782148420867,0.0,0.03,0.01,0.0,0.04,0.04,0.0,1.745210206328145,-0.0013195350492231084
falling,2026-05-01 12:27:00-04:00,2026-05-01 12:28:00-04:00,2026-05-01 12:32:00-04:00,-0.002512184092850367,198.53,198.5697079853,198.58,198.5402859858,5,max_holding,alpaca_personal_api,0.25000000000005684,0.19855500000005577,0.1985549974999401,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-0.18710999749993903,-0.001409056525415009
falling,2026-05-04 10:57:00-04:00,2026-05-04 10:58:00-04:00,2026-05-04 10:59:00-04:00,-0.0032349373230894374,197.22,197.2594459722,196.96355680324172,196.92416606151664,5,stop_loss,alpaca_personal_api,-1.282215983791417,0.1970917784015569,0.197091791223869,0.0,0.03,0.01,0.0,0.04,0.04,0.0,-1.716399553416843,-0.001523871521356357
falling,2026-05-04 11:00:00-04:00,2026-05-04 11:01:00-04:00,2026-05-04 11:04:00-04:00,-0.0025778406793367514,197.34,197.3794699734,197.7742289133468,197.73467604530643,5,take_profit,alpaca_personal_api,2.171144566734,0.19755711445668567,0.19755709274519972,0.0,0.03,0.01,0.0,0.04,0.04,0.0,1.7360303595321147,-0.0012134126490869201
