relative_volume_band,range,eligible_timestamp_count,trade_count,win_rate,average_win,average_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,total_net_pnl
low,< 0.75,1804,134,0.3208955223880597,1.2590058109483848,-1.4753048320119666,-0.5978767898679734,0.40324875296010393,81.6278481016343,0.00816278481016343,-80.11548984230843
normal,0.75–<1.25,3913,334,0.39221556886227543,1.2907617179684576,-1.353863856029522,-0.3166005320961827,0.6152425167915305,109.45878625355908,0.010945878625355909,-105.74457772012502
high,1.25–<2.00,1421,189,0.36507936507936506,1.2434809383231435,-1.4167616675007682,-0.4455619860094988,0.5046731260008627,84.2112153557955,0.00842112153557955,-84.21121535579528
very_high,≥ 2.00,382,78,0.4358974358974359,1.2464272802326395,-1.3650234611983636,-0.2266987790361315,0.7055910614616725,17.682504764818077,0.0017682504764818076,-17.68250476481826
