qqq_regime,range,eligible_timestamp_count,trade_count,win_rate,average_win,average_loss,expectancy,profit_factor,max_drawdown,max_drawdown_pct,total_net_pnl
falling,≤ -0.10%,757,271,0.3505535055350554,1.383207575009638,-1.4523403189469333,-0.45832906460791395,0.5140790456665194,125.97162717765059,0.01259494040266323,-124.20717650874468
stable,> -0.10% and < +0.10%,6014,335,0.3641791044776119,1.225490126512695,-1.374492525023311,-0.4276331713296014,0.51067860279271,144.67464823724913,0.014465414299401277,-143.25711239541647
rising,≥ +0.10%,849,18,0.3333333333333333,1.563765401382503,-1.5455745221676154,-0.5091278809842427,0.5058848276009932,9.304352818244297,0.0009304352818244296,-9.164301857716367
