session,trade_count,win_rate,expectancy,profit_factor,total_net_pnl
2026-07-01,17,0.35294117647058826,-0.5883310523092433,0.4411307555752303,-10.001627889257136
2026-07-02,37,0.5405405405405406,0.12113517377004754,1.1649031055557901,4.482001429491759
2026-07-06,9,0.3333333333333333,-0.22934868111573328,0.52793035436698,-2.0641381300415995
2026-07-07,21,0.38095238095238093,-0.3122114389920418,0.6097564634208864,-6.556440218832877
2026-07-08,21,0.3333333333333333,-0.5174403243723136,0.456860639025969,-10.866246811818586
2026-07-09,19,0.2631578947368421,-0.7261541953131057,0.2582163001703058,-13.796929710949007
2026-07-10,22,0.5,-0.07740430913483354,0.8840944564491852,-1.7028948009663378
2026-07-13,33,0.3939393939393939,-0.324465199654796,0.5705344099102578,-10.707351588608267
2026-07-14,13,0.6153846153846154,0.35855913581379834,1.7970315427017778,4.661268765579378
2026-07-15,33,0.3333333333333333,-0.39664913306193134,0.508430165535207,-13.089421391043734
2026-07-16,28,0.21428571428571427,-0.5943493905634704,0.3447130532967059,-16.64178293577717
2026-07-17,34,0.38235294117647056,-0.29117238529321954,0.6471776116491462,-9.899861099969463
2026-07-20,26,0.23076923076923078,-0.5501024577013237,0.3363322736140097,-14.302663900234418
2026-07-21,14,0.5,-0.0623107879410714,0.9127695235716857,-0.8723510311749996
2026-07-22,15,0.6,0.14060602877297695,1.2956736687607702,2.1090904315946544
2026-07-23,28,0.4642857142857143,-0.14559113622739603,0.7609825849378976,-4.076551814367089
2026-07-24,25,0.24,-0.7986819804915695,0.15765519114987803,-19.967049512289236
2026-07-27,43,0.13953488372093023,-1.0399254150419426,0.17471353971418427,-44.71679284680353
2026-07-28,27,0.4444444444444444,-0.09678987216995802,0.8823629516659454,-2.6133265485888666
2026-07-29,41,0.34146341463414637,-0.4832410156422553,0.5350509309865991,-19.812881641332467
2026-07-30,24,0.4166666666666667,-0.36718764774766527,0.5709506008602064,-8.812503545943967
2026-07-31,32,0.21875,-0.8011062435817793,0.30967580310550663,-25.635399794616937
