volatility_regime,trade_count,win_rate,expectancy,profit_factor,total_net_pnl
high,187,0.2994652406417112,-0.6179600143969565,0.4224376034781754,-115.55852269223085
low,188,0.35106382978723405,-0.3644698028001369,0.4857036212962674,-68.52032292642573
normal,187,0.42245989304812837,-0.21820860410317286,0.7337012810311514,-40.805008967293325
