entry_hour,trade_count,win_rate,expectancy,profit_factor,total_net_pnl
9,89,0.0,-2.4386064284240505,0.0,-217.0359721297405
10,161,0.0,-2.404544996268358,0.0,-387.1317443992057
11,79,0.0,-2.1998264306948325,0.0,-173.78628802489177
12,67,0.0,-2.110297539134881,0.0,-141.389935122037
13,51,0.0,-2.27012452866017,0.0,-115.77635096166867
14,51,0.0,-2.3143095936745905,0.0,-118.02978927740412
15,64,0.0,-2.7672464792344083,0.0,-177.10377467100213
