entry_hour,volatility_regime,trade_count,win_rate,expectancy,profit_factor,total_net_pnl
9,high,76,0.32894736842105265,-0.5074710660454282,0.4977003748510393,-38.567801019452546
9,normal,13,0.38461538461538464,-0.2575516238683034,0.7204919635009115,-3.348171110287944
10,high,83,0.3253012048192771,-0.5325525591113002,0.48334246013636895,-44.201862406237915
10,low,2,0.0,-0.870134701282006,0.0,-1.740269402564012
10,normal,76,0.3815789473684211,-0.32354753408426024,0.6401138772136639,-24.589612590403778
11,high,24,0.16666666666666666,-1.08953945109776,0.15930177433341344,-26.148946826346243
11,low,16,0.3125,-0.3827810946936008,0.456516595375924,-6.124497515097612
11,normal,39,0.5897435897435898,0.3524911876038996,1.6785307413645223,13.747156316552083
12,low,40,0.4,-0.28161668916404803,0.6114834783493793,-11.264667566561922
12,normal,27,0.5555555555555556,0.06128638683425614,1.100028029482515,1.6547324445249159
13,low,41,0.4878048780487805,-0.12777001130122403,0.7812297017026505,-5.238570463350185
13,normal,10,0.2,-1.0177780498318485,0.12391097248268626,-10.177780498318485
14,low,47,0.3617021276595745,-0.34954388078379206,0.48394236640347466,-16.428562396838227
14,normal,4,0.5,-0.31280672014147254,0.6108105679396966,-1.2512268805658902
15,high,4,0.0,-1.6599781100485334,0.0,-6.639912440194133
15,low,42,0.19047619047619047,-0.6600894186193756,0.2178955415126761,-27.723755582013776
15,normal,18,0.16666666666666666,-0.9355614804885679,0.2090208097678024,-16.840106648794222
