signal_time,entry_time,exit_time,drop_return,entry_mid,entry_executed,exit_mid,exit_executed,quantity,exit_reason,gross_pnl,spread_cost,slippage_cost,commission_cost,net_pnl
2026-07-01 09:35:00-04:00,2026-07-01 09:36:00-04:00,2026-07-01 09:36:00-04:00,-0.0038131715593027193,193.77,193.8087559377,194.1963734495754,194.15753611684923,5,take_profit,2.1318672478768974,0.19398318672472215,0.19398316540602423,2.0,-0.25609910425384896
2026-07-01 10:16:00-04:00,2026-07-01 10:17:00-04:00,2026-07-01 10:21:00-04:00,-0.002984663983288338,195.66,195.69913395659998,196.09053222451317,196.0513160789736,5,take_profit,2.15266112256586,0.1958752661121821,0.19587524458557937,2.0,-0.23908938813190161
2026-07-01 10:31:00-04:00,2026-07-01 10:32:00-04:00,2026-07-01 10:32:00-04:00,-0.0032836124828183877,195.79,195.82915995789998,195.53541621796313,195.4963110900737,5,stop_loss,-1.272918910184302,0.19566270810898345,0.19566272083807235,2.0,-3.6642443391313577
2026-07-01 10:33:00-04:00,2026-07-01 10:34:00-04:00,2026-07-01 10:36:00-04:00,-0.002899296445547095,195.72,195.75914595720002,195.46550723826422,195.42641609147165,5,stop_loss,-1.2724638086788786,0.1955927536191382,0.19559276634382172,2.0,-3.6636493286418386
2026-07-01 10:44:00-04:00,2026-07-01 10:45:00-04:00,2026-07-01 10:45:00-04:00,-0.0021461420541645237,195.26,195.29905395259996,195.00610537167108,194.96710610065782,5,stop_loss,-1.2694731416445393,0.19513305268574754,0.19513306538044617,2.0,-3.659739259710733
2026-07-01 10:46:00-04:00,2026-07-01 10:47:00-04:00,2026-07-01 10:49:00-04:00,-0.002739164938688754,194.785,194.82395894784997,195.21360686574567,195.17456609650858,5,take_profit,2.1430343287283904,0.19499930343286564,0.1949992820024704,2.0,-0.24696425670694566
2026-07-01 10:58:00-04:00,2026-07-01 10:59:00-04:00,2026-07-01 11:01:00-04:00,-0.002169197396963196,195.5,195.539101955,195.93018015891002,195.89099608218004,5,take_profit,2.150900794550097,0.1957150900794602,0.19571506857047893,2.0,-0.24052936409984227
2026-07-01 12:05:00-04:00,2026-07-01 12:06:00-04:00,2026-07-01 12:10:00-04:00,-0.002282641777416994,196.705,196.74434296705,196.8399,196.800533988399,5,max_holding,0.6744999999999379,0.196772449999969,0.19677244325492893,2.0,-1.71904489325496
2026-07-01 12:53:00-04:00,2026-07-01 12:54:00-04:00,2026-07-01 12:56:00-04:00,-0.002327699625544022,197.175,197.21443697175,196.91861531629237,196.87923356241527,5,stop_loss,-1.2819234185381845,0.19704680765812554,0.19704682047731126,2.0,-3.6760170466736213
2026-07-01 14:06:00-04:00,2026-07-01 14:07:00-04:00,2026-07-01 14:07:00-04:00,-0.002011768847759443,198.44,198.4796899844,198.18197044942343,198.14233603715326,5,stop_loss,-1.290147752882831,0.19831098522473667,0.19831099812620323,2.0,-3.686769736233771
2026-07-01 14:09:00-04:00,2026-07-01 14:10:00-04:00,2026-07-01 14:11:00-04:00,-0.0024146691148727584,198.305,198.34466298305003,198.04714598857547,198.00753853984924,5,stop_loss,-1.2892700571227067,0.1981760729943005,0.19817608588695634,2.0,-3.6856222160039636
2026-07-01 14:13:00-04:00,2026-07-01 14:14:00-04:00,2026-07-01 14:16:00-04:00,-0.0021171489061396764,197.96,197.99959397959998,197.7025945886306,197.66305604673883,5,stop_loss,-1.2870270568470232,0.19783129729418647,0.19783131016453126,2.0,-3.682689664305741
2026-07-01 15:14:00-04:00,2026-07-01 15:15:00-04:00,2026-07-01 15:19:00-04:00,-0.0020032059309723627,199.235,199.27484899235,199.48,199.44010599479998,5,max_holding,1.2249999999998806,0.19935750000001917,0.1993574877499782,2.0,-1.1737149877501167
2026-07-01 15:35:00-04:00,2026-07-01 15:36:00-04:00,2026-07-01 15:38:00-04:00,-0.0021290451858532178,199.2,199.23984199199998,198.94098222901198,198.901196021976,5,stop_loss,-1.2950888549400474,0.19907049111438369,0.19907050406544613,2.0,-3.6932298501198773
